x,y,z,phi_m,Ax,Ay,Az,Bx,By,Bz
0.81685904, 0, 0.26748712, 0.00049500688, 0.0017568446, -1.1544635e-05, 0.026851116, -0.00027599773, 0.42654252, 0.00050618995
0.8164223, 0, 0.26937887, 0.00049392844, 0.0018229212, -1.1655601e-05, 0.026773426, -0.00026893018, 0.42654552, 0.00050816544
0.81598556, 0, 0.27127061, 0.00049284931, 0.0018911239, -1.1767877e-05, 0.026693985, -0.00026168998, 0.42654813, 0.00051022013
0.81554881, 0, 0.27316236, 0.00049176942, 0.00196149, -1.1881575e-05, 0.026612805, -0.00025428585, 0.4265503, 0.00051235142
0.81511207, 0, 0.2750541, 0.0004906887, 0.0020340573, -1.1996808e-05, 0.026529897, -0.00024672705, 0.42655196, 0.00051455507
0.81467533, 0, 0.27694584, 0.00048960707, 0.0021088641, -1.2113684e-05, 0.026445276, -0.0002390229, 0.42655306, 0.00051682489
0.81423858, 0, 0.27883759, 0.0004885245, 0.0021859488, -1.2232305e-05, 0.026358955, -0.00023118249, 0.42655354, 0.00051915266
0.81380184, 0, 0.28072933, 0.00048744092, 0.0022653503, -1.2352765e-05, 0.026270946, -0.00022321419, 0.42655333, 0.00052152856
0.81336509, 0, 0.28262107, 0.00048635632, 0.002347108, -1.2475153e-05, 0.026181265, -0.0002151255, 0.42655236, 0.00052394175
0.81292835, 0, 0.28451282, 0.00048527068, 0.0024312617, -1.2599555e-05, 0.026089924, -0.00020692294, 0.42655057, 0.00052638138
0.81249161, 0, 0.28640456, 0.00048418402, 0.0025178514, -1.2726055e-05, 0.025996938, -0.00019861224, 0.42654791, 0.00052883757
0.81205486, 0, 0.2882963, 0.00048309636, 0.0026069177, -1.285474e-05, 0.025902323, -0.00019019858, 0.4265443, 0.00053130253
0.81161812, 0, 0.29018805, 0.00048200772, 0.0026985015, -1.2985701e-05, 0.025806092, -0.00018168708, 0.42653969, 0.00053377143
0.81118138, 0, 0.29207979, 0.00048091815, 0.0027926442, -1.3119035e-05, 0.025708263, -0.00017308327, 0.42653403, 0.00053624307
0.81074463, 0, 0.29397154, 0.00047982768, 0.0028893876, -1.325485e-05, 0.025608849, -0.00016439355, 0.42652725, 0.00053872022
0.81030789, 0, 0.29586328, 0.00047873632, 0.0029887741, -1.3393261e-05, 0.025507868, -0.00015562557, 0.4265193, 0.00054120969
0.80987115, 0, 0.29775502, 0.00047764407, 0.0030908463, -1.353439e-05, 0.025405334, -0.00014678844, 0.42651012, 0.00054372212
0.8094344, 0, 0.29964677, 0.00047655092, 0.0031956474, -1.3678372e-05, 0.025301266, -0.00013789278, 0.42649964, 0.00054627166
0.80899766, 0, 0.30153851, 0.00047545679, 0.0033032212, -1.3825343e-05, 0.025195679, -0.00012895062, 0.42648781, 0.00054887577
